acquision_function,seed,iteration_number,normal,covid,train_time,batch_time
Entropy Sampling,58,0,0.35,0.65,283.0794322951697,56.86608861060813
Entropy Sampling,58,1,0.5,0.5,241.30738576734439,55.11673622764647
Entropy Sampling,58,2,0.5,0.5,281.1038184771314,53.96239856816828
Entropy Sampling,58,3,0.3,0.7,240.90394010022283,53.52580898301676
Entropy Sampling,58,4,0.65,0.35,280.7638965318911,52.65868324972689
Entropy Sampling,58,5,0.35,0.65,320.3428061087616,51.92893302580342
Entropy Sampling,58,6,0.75,0.25,400.66199060017243,51.1467902767472
Entropy Sampling,58,7,0.25,0.75,201.68610774725676,50.39755496708676
Entropy Sampling,58,8,0.75,0.25,359.8924903389998,49.61059056594968
Entropy Sampling,58,9,0.1,0.9,242.13470931816846,49.06626481516287
Entropy Sampling,58,10,0.25,0.75,321.07919914787635,48.523960096761584
Entropy Sampling,58,11,0.25,0.75,362.26435200916603,47.51654495019466
Entropy Sampling,58,12,0.35,0.65,361.2746992157772,46.99271333683282
Entropy Sampling,58,13,0.5,0.5,321.48017363389954,46.45682042092085
Entropy Sampling,58,14,0.3,0.7,440.7560652042739,45.92452412284911
Entropy Sampling,58,15,0.3,0.7,360.4933854318224,45.12052731914446
Entropy Sampling,58,16,0.45,0.55,400.73536597006023,44.340245281811804
Entropy Sampling,58,17,0.15,0.85,400.9777477257885,44.54119260702282
Entropy Sampling,58,18,0.15,0.85,560.2999682538211,43.05593279981986
Entropy Sampling,58,19,0.1,0.9,321.9730386957526,42.266274732071906
Entropy Sampling,58,20,0.3,0.7,480.6992334178649,41.64373355032876
Entropy Sampling,58,21,0.2,0.8,281.7145807342604,41.08564846916124
Entropy Sampling,58,22,0.35,0.65,321.641196556855,40.40893039526418
Entropy Sampling,58,23,0.2,0.8,361.0988120152615,39.46362951118499
Entropy Sampling,58,24,0.05,0.95,281.5967919989489,38.90583868185058
Entropy Sampling,58,25,0.2,0.8,320.98341634403914,38.253347432240844
Entropy Sampling,58,26,0,1.0,360.97707947483286,37.51075575733557
Entropy Sampling,58,27,0.2,0.8,322.2590963081457,36.81894409004599
Entropy Sampling,58,28,0.15,0.85,281.79849164607003,36.13034095522016
Entropy Sampling,58,29,0.05,0.95,361.28645612020046,35.45533005334437
Entropy Sampling,58,30,0.05,0.95,321.9356096549891,34.683694726321846
Entropy Sampling,58,31,0.7,0.3,560.2902739071287,33.83185749407858
Entropy Sampling,58,32,0,1.0,242.45274078287184,33.257441472262144
Entropy Sampling,58,33,0.05,0.95,360.69039965607226,32.50611229613423
Entropy Sampling,58,34,0.05,0.95,361.1961206831038,31.95392625918612
Entropy Sampling,254,0,0.3,0.7,240.28514308622107,55.71242838120088
Entropy Sampling,254,1,0.3,0.7,239.82532053813338,55.111658819019794
Entropy Sampling,254,2,0.2,0.8,279.87713320879266,53.991821139119565
Entropy Sampling,254,3,0.25,0.75,279.99098045984283,53.72107225190848
