acquision_function,seed,iteration_number,normal,moderate,severe,train_time,batch_time
Random,9031,0,0.0,0.5,0.5,202.08875510608777,0.0005563688464462757
Random,9031,1,0.0,0.25,0.75,162.32786746742204,0.0005653412081301212
Random,9031,2,0.1,0.45,0.45,162.66911753593013,0.0005628890357911587
Random,9031,3,0.05,0.45,0.5,242.49003041582182,0.0005562850274145603
Random,9031,4,0.0,0.35,0.65,243.388152229134,0.0005484540015459061
Random,9031,5,0.15,0.55,0.3,283.46492550102994,0.0005830922164022923
Random,9031,6,0.15,0.4,0.45,441.12745250575244,0.0005145207978785038
Random,9031,7,0.15,0.4,0.45,520.8226023749448,0.0005990369245409966
Random,9031,8,0.1,0.35,0.55,680.3648128942586,0.0005642022006213665
Random,9031,9,0.1,0.45,0.45,561.9039218379185,0.000543828122317791
Random,9031,10,0.1,0.35,0.55,481.9028448597528,0.0004904000088572502
Random,9031,11,0.1,0.35,0.55,600.8826295603067,0.0005661179311573505
Random,9031,12,0.1,0.3,0.6,442.0195918790996,0.0006388179026544094
Random,9031,13,0.1,0.3,0.6,361.8476179470308,0.0005030506290495396
Random,9031,14,0.1,0.2,0.7,520.6121416841634,0.0005691549740731716
Random,9031,15,0.05,0.5,0.45,560.7139425999485,0.0005097980611026287
Random,9031,16,0.1,0.5,0.4,283.1318895877339,0.0006333258934319019
Random,9031,17,0.0,0.45,0.55,402.8773132399656,0.0005350960418581963
Random,9031,18,0.1,0.35,0.55,362.6146254683845,0.0005777613259851933
Random,9031,19,0.1,0.4,0.5,401.89612381206825,0.0005585439503192902
Random,9031,20,0.2,0.5,0.3,243.43951286980882,0.0005660769529640675
Random,9031,21,0.1,0.6,0.3,560.8416163781658,0.0005097249522805214
Least Confidence,8888,0,0.25,0.25,0.5,320.7854487048462,53.902898215223104
Least Confidence,8888,1,0.1,0.45,0.45,280.79010981414467,53.10526682622731
Least Confidence,8888,2,0.45,0.2,0.35,201.82754226820543,52.43165267305449
Least Confidence,8888,3,0.1,0.55,0.35,202.1084378398955,51.70527118211612
Least Confidence,8888,4,0.35,0.5,0.15,321.5160564011894,51.14594571106136
Least Confidence,8888,5,0.05,0.6,0.35,242.17907603178173,50.303571078926325
Least Confidence,8888,6,0.4,0.3,0.3,202.21277544880286,49.50911957304925
Least Confidence,8888,7,0.15,0.65,0.2,679.8380758352578,48.84978008083999
Least Confidence,8888,8,0.15,0.6,0.25,282.58151186583564,48.165615499950945
Least Confidence,8888,9,0.15,0.45,0.4,441.0365145551041,47.31557265203446
Least Confidence,8888,10,0.25,0.45,0.3,282.4449398731813,46.813620685599744
Least Confidence,8888,11,0.3,0.5,0.2,202.7474935632199,46.12572236498818
Least Confidence,8888,12,0.1,0.35,0.55,481.3095792452805,45.36273164488375
Least Confidence,8888,13,0.55,0.4,0.05,242.45838768407702,44.80917479796335
Least Confidence,8888,14,0.05,0.65,0.3,441.68506748601794,43.97689628181979
Least Confidence,8888,15,0.2,0.45,0.35,361.68760154629126,43.359838739037514
Least Confidence,8888,16,0.05,0.4,0.55,163.22922558989376,42.690586977638304
Least Confidence,8888,17,0.4,0.45,0.15,521.6548738460988,42.26872605131939
Least Confidence,8888,18,0.4,0.4,0.2,162.7571448609233,41.20198182668537
Least Confidence,8888,19,0.05,0.35,0.6,162.6693219151348,40.51895476831123
Least Confidence,8888,20,0.15,0.4,0.45,202.8325304798782,39.98070562304929
Least Confidence,8888,21,0.15,0.45,0.4,361.7705326611176,39.491578795947134
Least Confidence,8888,22,0.15,0.5,0.35,242.7400726294145,38.77772259293124
Least Confidence,8888,23,0.05,0.4,0.55,362.39110084902495,38.16364206606522
Least Confidence,8888,24,0.45,0.35,0.2,282.56255771871656,37.603634589817375
Least Confidence,8888,25,0.2,0.55,0.25,322.0826712138951,36.85881402390078
Least Confidence,8888,26,0.15,0.5,0.35,481.3007259052247,36.19913448905572
Least Confidence,8888,27,0.2,0.35,0.45,519.6437410241924,35.469106807839125
Least Confidence,8888,28,0.15,0.45,0.4,560.4841991411522,35.03929057298228
BatchBALD,9031,0,0.2,0.4,0.4,241.23994910623878,88.00679893000051
BatchBALD,9031,1,0.3,0.45,0.25,280.3644360001199,86.62868821620941
BatchBALD,9031,2,0.35,0.45,0.2,399.0631256820634,85.29720331216231
BatchBALD,9031,3,0.15,0.35,0.5,280.7675856137648,84.39590746164322
BatchBALD,9031,4,0.35,0.25,0.4,241.49376618117094,83.19232451403514
